index;country_code;country_long;name_of_powerplant;latitude;longitude;primary_fuel;start date;owner of plant;capacity_in_MW;estimated_generation_gwh_2021;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031
17906;NOR;Norway;Bruvollelva;64,2663;12,2944;Hydro;;;4;13,14;13,14;14,454;15,8994;17,48934;19,238274;21,1621014;23,27831154;25,60614269;28,16675696;30,98343266;34,08177593
17907;NOR;Norway;Byafossen;64,0381;11,5525;Hydro;;;4;19,01;19,01;20,911;23,0021;25,30231;27,832541;30,6157951;33,67737461;37,04511207;40,74962328;44,82458561;49,30704417
17908;NOR;Norway;Byrkjelo;61,7336;6,5086;Hydro;;;25;100,54;100,54;110,594;121,6534;133,81874;147,200614;161,9206754;178,1127429;195,9240172;215,516419;237,0680609;260,7748669
17909;NOR;Norway;Byrte;59,5576;7,8115;Hydro;;;25;99;99;108,9;119,79;131,769;144,9459;159,44049;175,384539;192,9229929;212,2152922;233,4368214;256,7805035
17910;NOR;Norway;Daja;67,0882;16,0569;Hydro;;;31;114,63;114,63;126,093;138,7023;152,57253;167,829783;184,6127613;203,0740374;223,3814412;245,7195853;270,2915438;297,3206982
17911;NOR;Norway;Dale;61,3375;5,412;Hydro;;;171;714,58;714,58;786,038;864,6418;951,10598;1046,216578;1150,838236;1265,922059;1392,514265;1531,765692;1684,942261;1853,436487
17912;NOR;Norway;Dalsfoss;58,9671;9,3137;Hydro;;;8;38,56;38,56;42,416;46,6576;51,32336;56,455696;62,1012656;68,31139216;75,14253138;82,65678451;90,92246296;100,0147093
17913;NOR;Norway;Dalvatn;59,6906;6,5701;Hydro;;;37;148,25;148,25;163,075;179,3825;197,32075;217,052825;238,7581075;262,6339183;288,8973101;317,7870411;349,5657452;384,5223197
17914;NOR;Norway;Dittielva;68,6564;18,7843;Hydro;;;6;25,95;25,95;28,545;31,3995;34,53945;37,993395;41,7927345;45,97200795;50,56920875;55,62612962;61,18874258;67,30761684
17915;NOR;Norway;Dividalen;68,8741;19,5607;Hydro;;;30;140,9;140,9;154,99;170,489;187,5379;206,29169;226,920859;249,6129449;274,5742394;302,0316633;332,2348297;365,4583126
17916;NOR;Norway;Djupdal;59,9396;9,3392;Hydro;;;17;92,66;92,66;101,926;112,1186;123,33046;135,663506;149,2298566;164,1528423;180,5681265;198,6249391;218,487433;240,3361764
17917;NOR;Norway;Djupfjord 1;68,6026;15,4734;Hydro;;;5;25,34;25,34;27,874;30,6614;33,72754;37,100294;40,8103234;44,89135574;49,38049131;54,31854045;59,75039449;65,72543394
17918;NOR;Norway;Dokkelva;62,6797;8,1373;Hydro;;;5;17,79;17,79;19,569;21,5259;23,67849;26,046339;28,6509729;31,51607019;34,66767721;38,13444493;41,94788942;46,14267837
17919;NOR;Norway;Dragefossen;67,0239;15,3217;Hydro;;;4;17;17;18,7;20,57;22,627;24,8897;27,37867;30,116537;33,1281907;36,44100977;40,08511075;44,09362182
17920;NOR;Norway;Driva;62,623;8,8895;Hydro;;;160;589,1;589,1;648,01;712,811;784,0921;862,50131;948,751441;1043,626585;1147,989244;1262,788168;1389,066985;1527,973683
17921;NOR;Norway;Duge;58,6659;6,5031;Hydro;;;200;760,92;760,92;837,012;920,7132;1012,78452;1114,062972;1225,469269;1348,016196;1482,817816;1631,099597;1794,209557;1973,630513
17922;NOR;Norway;Dversetelva;67,1611;15,4057;Hydro;;;4;19,06;19,06;20,966;23,0626;25,36886;27,905746;30,6963206;33,76595266;37,14254793;40,85680272;44,94248299;49,43673129
17923;NOR;Norway;Dynjanfoss;58,9516;8,3953;Hydro;;;39;174,29;174,29;191,719;210,8909;231,97999;255,177989;280,6957879;308,7653667;339,6419034;373,6060937;410,9667031;452,0633734
17924;NOR;Norway;EVM;60,8085;5,0374;Gas;;;382;1391,392823;1391,392823;1530,532106;1683,585316;1851,943848;2037,138233;2240,852056;2464,937262;2711,430988;2982,574087;3280,831495;3608,914645
17925;NOR;Norway;Eidefossen;61,8037;9,3037;Hydro;;;14;67,75;67,75;74,525;81,9775;90,17525;99,192775;109,1120525;120,0232578;132,0255835;145,2281419;159,7509561;175,7260517
17926;NOR;Norway;Eidsfoss;59,297;9,2199;Hydro;;;18;94,2;94,2;103,62;113,982;125,3802;137,91822;151,710042;166,8810462;183,5691508;201,9260659;222,1186725;244,3305397
17927;NOR;Norway;Eikelandsosen;60,2486;5,7382;Hydro;;;35;150,41;150,41;165,451;181,9961;200,19571;220,215281;242,2368091;266,46049;293,106539;322,4171929;354,6589122;390,1248034
17928;NOR;Norway;Einunna;62,2313;10,3421;Hydro;;;12;47,52;47,52;52,272;57,4992;63,24912;69,574032;76,5314352;84,18457872;92,60303659;101,8633403;112,0496743;123,2546417
17929;NOR;Norway;Eiriksdal;61,2359;6,1984;Hydro;;;100;402,57;402,57;442,827;487,1097;535,82067;589,402737;648,3430107;713,1773118;784,4950429;862,9445472;949,239002;1044,162902
17930;NOR;Norway;Eitro;60,2941;5,9238;Hydro;;;5;15,77;15,77;17,347;19,0817;20,98987;23,088857;25,3977427;27,93751697;30,73126867;33,80439553;37,18483509;40,9033186
17931;NOR;Norway;Eldrevatn;61,0192;8,1309;Hydro;;;6;19,89;19,89;21,879;24,0669;26,47359;29,120949;32,0330439;35,23634829;38,75998312;42,63598143;46,89957957;51,58953753
17932;NOR;Norway;Ellenelva;69,3807;19,6447;Hydro;;;6;24,01;24,01;26,411;29,0521;31,95731;35,153041;38,6683451;42,53517961;46,78869757;51,46756733;56,61432406;62,27575647
17933;NOR;Norway;Embla;62,2171;6,9098;Hydro;;;6;19,84;19,84;21,824;24,0064;26,40704;29,047744;31,9525184;35,14777024;38,66254726;42,52880199;46,78168219;51,45985041
17934;NOR;Norway;Embrets3;59,901;9,929;Hydro;;;78;354,26;354,26;389,686;428,6546;471,52006;518,672066;570,5392726;627,5931999;690,3525198;759,3877718;835,326549;918,8592039
17935;NOR;Norway;Evanger;60,6566;6,1121;Hydro;;;446;1513,67;1513,67;1665,037;1831,5407;2014,69477;2216,164247;2437,780672;2681,558739;2949,714613;3244,686074;3569,154681;3926,07015
17936;NOR;Norway;Fagerli;67,1193;16,0771;Hydro;;;60;222,31;222,31;244,541;268,9951;295,89461;325,484071;358,0324781;393,8357259;433,2192985;476,5412284;524,1953512;576,6148863
17937;NOR;Norway;Fagervollan;66,3703;13,6567;Hydro;;;22;112,58;112,58;123,838;136,2218;149,84398;164,828378;181,3112158;199,4423374;219,3865711;241,3252282;265,4577511;292,0035262
17938;NOR;Norway;Fakken;70,1023;20,1077;Wind;;;59;225,6104116;225,6104116;248,1714528;272,9885981;300,2874579;330,3162037;363,3478241;399,6826065;439,6508671;483,6159538;531,9775492;585,1753041
17939;NOR;Norway;Fall;60,6778;10,3526;Hydro;;;6;26,03;26,03;28,633;31,4963;34,64593;38,110523;41,9215753;46,11373283;50,72510611;55,79761672;61,3773784;67,51511624
17940;NOR;Norway;Faslefoss;60,957;9,3008;Hydro;;;20;97,15;97,15;106,865;117,5515;129,30665;142,237315;156,4610465;172,1071512;189,3178663;208,2496529;229,0746182;251,98208
17941;NOR;Norway;Fausa;62,3575;6,8948;Hydro;;;8;40,09;40,09;44,099;48,5089;53,35979;58,695769;64,5653459;71,02188049;78,12406854;85,93647539;94,53012293;103,9831352
17942;NOR;Norway;Finndola;59,178;8,0128;Hydro;;;130;502,62;502,62;552,882;608,1702;668,98722;735,885942;809,4745362;890,4219898;979,4641888;1077,410608;1185,151668;1303,666835
17943;NOR;Norway;Finnfjordbotn;69,2306;18,0889;Gas;;;49;189,5180769;189,5180769;208,4698846;229,3168731;252,2485604;277,4734164;305,2207581;335,7428339;369,3171172;406,248829;446,8737119;491,5610831
17944;NOR;Norway;Fjone;59,217;8,4518;Hydro;;;60;245,78;245,78;270,358;297,3938;327,13318;359,846498;395,8311478;435,4142626;478,9556888;526,8512577;579,5363835;637,4900218
17945;NOR;Norway;Flatenfoss;58,6299;8,6888;Hydro;;;14;74,3;74,3;81,73;89,903;98,8933;108,78263;119,660893;131,6269823;144,7896805;159,2686486;175,1955134;192,7150648
17946;NOR;Norway;Flittig;59,3229;9,5375;Hydro;;;5;20,21;20,21;22,231;24,4541;26,89951;29,589461;32,5484071;35,80324781;39,38357259;43,32192985;47,65412284;52,41953512
17947;NOR;Norway;Follafoss;63,987;11,102;Hydro;;;49;193,82;193,82;213,202;234,5222;257,97442;283,771862;312,1490482;343,363953;377,7003483;415,4703832;457,0174215;502,7191636
17948;NOR;Norway;Forsa;68,2762;16,6251;Hydro;;;14;51,14;51,14;56,254;61,8794;68,06734;74,874074;82,3614814;90,59762954;99,65739249;109,6231317;120,5854449;132,6439894
17949;NOR;Norway;Forsanvatn;67,9507;15,654;Hydro;;;11;56,28;56,28;61,908;68,0988;74,90868;82,399548;90,6395028;99,70345308;109,6737984;120,6411782;132,705296;145,9758257
17950;NOR;Norway;Fortun;61,5049;7,7003;Hydro;;;273;894;894;983,4;1081,74;1189,914;1308,9054;1439,79594;1583,775534;1742,153087;1916,368396;2108,005236;2318,805759
17951;NOR;Norway;Fossan;63,0273;11,6968;Hydro;;;3;13,89;13,89;15,279;16,8069;18,48759;20,336349;22,3699839;24,60698229;27,06768052;29,77444857;32,75189343;36,02708277
