index,country_code,country_long,name_of_powerplant,latitude,longitude,primary_fuel,start date,owner of plant,capacity_in_MW,estimated_generation_gwh_2021
10257,FIN,Finland,Suomenoja power station,60.1483,24.7183,Coal,1981.0,Fortum Oyj,170.0,626.2353271419236
10258,FIN,Finland,Tahkoluoto Offshore tv,61.4833,21.7833,Wind,,Suomen HyÃ¶tytuuli Oy,2.3,20.966873728078696
10259,FIN,Finland,Tahkoluoto tv,61.4833,21.7833,Wind,,Tuuliwatti Oy,3.0,23.49333715914424
10260,FIN,Finland,Tainionkoski,61.2104,28.7834,Hydro,,Fortum Power & Heat   Generation,61.5,234.38
10261,FIN,Finland,Taivalkoski,62.4833,22.9,Hydro,,Kemijoki Oy,133.0,545.54
10262,FIN,Finland,Tako T2 ja T5,61.4991,23.7871,Gas,,MetsÃ¤ Board Oyj,16.5,72.21798904397968
10263,FIN,Finland,Tammerkoski,61.4991,23.7871,Hydro,,Tampereen Sähkölaitos,8.6,30.49
10264,FIN,Finland,Tampella ve,61.5037,23.7659,Hydro,,Tampereen Sähkölaitos,3.01,8.99
10265,FIN,Finland,Tervasaari ve,61.2642,24.0312,Hydro,,UPM-Kymmene Oyj,3.0,13.54
10266,FIN,Finland,Tolkkinen  Biolaitos,60.3923,25.6651,Biomass,,Porvoon Energia Oy,11.3,53.449974984635666
10267,FIN,Finland,Tolkkinen 1,60.3923,25.6651,Biomass,,Porvoon Energia Oy,7.8,40.817657829307954
10268,FIN,Finland,Toppila 1 ja 2,65.0124,25.4682,Biomass,,Oulun Energia,195.0,716.4661639656929
10269,FIN,Finland,Tornio,65.8481,24.1466,Biomass,,Tornion Voima Oy,39.3,154.50851222725734
10270,FIN,Finland,Tornio tv,65.8481,24.1466,Wind,,Rajakiiri Oy,28.8,116.61156076127422
10271,FIN,Finland,Uimaharju 2 + 1 vp/lv,62.9167,30.25,Biomass,,Enocell Oy,105.0,391.6351514001232
10272,FIN,Finland,Uljua,64.3333,25.85,Hydro,,Vattenfall Sähköntuotanto oy,3.7,14.63
10273,FIN,Finland,Utanen,64.7333,26.5,Hydro,,Fortum Power & Heat   Generation,57.8,203.04
10274,FIN,Finland,Uusikaupunki,60.8004,21.4084,Oil,,Yara Suomi Oy,14.2,63.916752056192905
10275,FIN,Finland,Vaaja,63.096,21.6158,Hydro,,SUUR-SAVON SÃHKÃ Oy,3.6,14.68
10276,FIN,Finland,Vajukoski,67.4167,26.6,Hydro,,Kemijoki Oy,21.0,98.43
10277,FIN,Finland,Valajaskoski,66.5,25.7167,Hydro,,Kemijoki Oy,101.0,446.61
10278,FIN,Finland,Vanaja kt 1,60.996,24.4643,Oil,,Fingrid Oyj,50.0,193.12731038783062
10279,FIN,Finland,Vaskiluoto 2,63.0914,21.5539,Coal,,Vaskiluodon Voima Oy,230.0,842.78933551897
10280,FIN,Finland,Vaskiluoto kt,63.0453,21.7863,Oil,,Fingrid Oyj,26.0,106.50570703701204
10281,FIN,Finland,Veitsiluoto,65.7364,24.5637,Biomass,,Stora Enso Oyj,90.0,337.4966493058616
10282,FIN,Finland,Venetpalo,63.9,25.7833,Hydro,,Vattenfall Sähköntuotanto oy,1.8,7.87
10283,FIN,Finland,Verla 1 ja 2,61.0667,26.6333,Hydro,,KSS Energia Oy,3.0,11.5
10284,FIN,Finland,Vihtakoski,62.3833,30.4667,Hydro,,Pohjois-Karjalan SÃ¤hkÃ¶ Oy,1.5,6.37
10285,FIN,Finland,Voikkaa ve 1,60.9333,26.6167,Hydro,,UPM-Kymmene Oyj,32.9,139.8
10286,FIN,Finland,Vuolenkoski ve,61.0833,26.1333,Hydro,,Myllykoski Paper Oy,9.5,46.96
10287,FIN,Finland,Vuosaari A,60.2199,25.1692,Gas,,Helsingin Energia,163.0,600.9706928312681
10288,FIN,Finland,Vuosaari B,60.2199,25.1692,Gas,,Helsingin Energia,485.0,1763.1438711214173
10289,FIN,Finland,Ylivieska,64.0833,24.55,Biomass,,Oy Perhonjoki AB,6.2,35.04288427258672
17866,NOR,Norway,Abjora,60.8648,9.279,Hydro,,,103.0,432.4
17867,NOR,Norway,Adamselv,70.372,26.7876,Hydro,,,60.0,294.09
17868,NOR,Norway,Alta krv,69.7049,23.8185,Hydro,,,180.0,756.43
17869,NOR,Norway,Ana-Sira,58.295,6.4531,Hydro,,,183.0,768.75
17870,NOR,Norway,Arna,60.4602,5.4377,Hydro,,,9.0,44.3
17871,NOR,Norway,Aroy,61.2768,7.1547,Hydro,,,108.0,475.51
17872,NOR,Norway,Arvik,60.1261,12.4564,Hydro,,,5.0,18.66
17873,NOR,Norway,Asebotn,59.0568,6.6587,Hydro,,,17.0,77.16
17874,NOR,Norway,Asen,63.9333,9.7667,Hydro,,,10.0,40.77
17875,NOR,Norway,Askara,61.8117,5.6615,Hydro,,,157.0,656.07
17876,NOR,Norway,Askerudfoss,60.8971,6.2015,Hydro,,,15.0,66.34
